trip_id,arrival_time,departure_time,stop_id,stop_sequence
early,05:00:00,05:00:00,BEL1,1
early,05:01:00,05:01:00,BEL1,2
early,05:02:00,05:02:00,BEL1,3
early,05:03:00,05:03:00,BEL1,4
early,05:04:00,05:04:00,BEL1,5
early,05:05:00,05:05:00,BEL1,6
early,05:06:00,05:06:00,BEL1,7
early,05:07:00,05:07:00,BEL1,8
early,05:08:00,05:08:00,BEL1,9
early,05:09:00,05:09:00,BEL1,10
early,05:10:00,05:10:00,BEL1,11
early,05:11:00,05:11:00,BEL1,12
early,05:12:00,05:12:00,BEL1,13
early,05:13:00,05:13:00,BEL1,14
early,05:14:00,05:14:00,BEL1,15
early,05:15:00,05:15:00,BEL1,16
early,05:16:00,05:16:00,BEL1,17
early,05:17:00,05:17:00,BEL1,18
early,05:18:00,05:18:00,BEL1,19
early,05:19:00,05:19:00,BEL1,20
early,05:20:00,05:20:00,BEL1,21
morning,08:05:00,08:05:00,BEL1,1
next,08:10:00,08:10:00,BEL1,1
removed,08:06:00,08:06:00,BEL1,1
added,08:07:00,08:07:00,BEL1,1
night,25:10:00,25:10:00,BEL1,1
after_midnight,01:20:00,01:20:00,BEL1,1
spring,02:30:00,02:30:00,BEL1,1
autumn_first,01:30:00,01:30:00,BEL1,1
autumn_second,02:30:00,02:30:00,BEL1,1
opposite,08:03:00,08:03:00,BEL1,1
wrong_line,08:01:00,08:01:00,BEL1,1
